City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
239,Marawi,PH,7.9986,124.2928,80.2,62,70,3.09,broken clouds
240,Lagoa,PT,39.05,-27.9833,58.64,94,100,31.65,overcast clouds
241,Coruripe,BR,-10.1256,-36.1756,77.7,84,92,7.05,overcast clouds
242,Joshimath,IN,30.5667,79.5667,53.76,41,0,8.16,clear sky
243,Nantucket,US,41.2835,-70.0995,44.74,92,0,9.22,clear sky
244,Pisco,PE,-13.7,-76.2167,69.85,68,0,4.61,clear sky
245,Namtsy,RU,62.7161,129.6658,14.97,91,100,1.92,overcast clouds
246,Flin Flon,CA,54.7682,-101.865,4.78,80,100,9.37,overcast clouds
247,Rocha,UY,-34.4833,-54.3333,59.07,97,100,5.32,overcast clouds
248,Liberal,US,37.0431,-100.921,53.74,37,0,6.91,clear sky
249,Bani,DO,18.2833,-70.3333,78.85,76,22,6.76,few clouds
250,Huarmey,PE,-10.0681,-78.1522,71.47,80,88,7.63,overcast clouds
251,Avera,US,33.194,-82.5271,54.91,59,6,9.15,clear sky
252,Altay,CN,47.8667,88.1167,23.9,57,7,4.85,clear sky
253,Boyolangu,ID,-8.1181,111.8935,84.42,70,21,1.28,few clouds
254,Murgab,TM,37.4966,61.9714,49.87,66,75,6.91,broken clouds
255,Uberaba,BR,-19.7483,-47.9319,75.78,78,20,5.75,few clouds
256,Eunice,US,30.4944,-92.4176,64.29,62,0,6.73,clear sky
257,Jablah,SY,35.3614,35.9256,44.89,81,20,4.61,few clouds
258,Marzuq,YE,14.4,46.4667,67.41,50,0,4.85,clear sky
259,Provideniya,RU,64.3833,-173.3,17.53,78,9,2.51,clear sky
260,Doka,SD,13.5167,35.7667,73.62,34,0,15.93,clear sky
261,Cidreira,BR,-30.1811,-50.2056,64.81,80,16,8.05,few clouds
262,Wajima,JP,37.4,136.9,54.28,71,100,6.91,light rain
263,Esperance,AU,-33.8667,121.9,76.84,50,100,12.15,overcast clouds
264,Mayo,US,38.8876,-76.5119,56.28,55,100,5.99,overcast clouds
265,Mpika,ZM,-11.8343,31.4529,61.38,99,100,3.4,light rain
266,Karimpur,IN,23.9667,88.6167,80.69,71,37,6.49,scattered clouds
267,Dunedin,NZ,-45.8742,170.5036,64.8,65,99,17.0,overcast clouds
268,Dudinka,RU,69.4058,86.1778,16.63,75,100,18.54,overcast clouds
269,Deputatskiy,RU,69.3,139.9,2.68,90,59,5.64,broken clouds
270,San Quintin,MX,30.4833,-115.95,61.75,82,61,9.4,broken clouds
271,Manado,ID,1.487,124.8455,86.77,70,40,4.61,scattered clouds
272,Umm Lajj,SA,25.0213,37.2685,61.56,50,0,13.44,clear sky
273,Ugoofaaru,MV,5.6667,73.0,81.21,64,0,2.37,clear sky
274,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.76,93,100,25.32,overcast clouds
275,Hualmay,PE,-11.0964,-77.6139,70.77,81,90,8.41,overcast clouds
276,Perth,AU,-31.9333,115.8333,81.09,65,0,14.97,clear sky
277,Hithadhoo,MV,-0.6,73.0833,83.43,68,100,12.93,overcast clouds
278,Manolas,GR,38.05,21.35,48.29,90,0,3.44,clear sky
279,Ancud,CL,-41.8697,-73.8203,55.22,91,100,1.86,overcast clouds
280,Pogranichnyy,RU,44.4064,131.3769,37.94,97,100,3.36,moderate rain
281,Forestville,US,38.8451,-76.875,55.4,50,100,13.8,overcast clouds
282,Dingle,PH,10.9995,122.6711,88.03,54,32,12.1,scattered clouds
283,Libreville,GA,0.3925,9.4537,77.02,94,20,4.61,few clouds
284,Tigzirt,DZ,36.8886,4.1198,57.6,59,60,5.55,broken clouds
285,Dalvik,IS,65.9702,-18.5286,46.33,88,100,11.61,overcast clouds
286,Monrovia,LR,6.3005,-10.7969,79.23,86,100,4.36,light rain
287,Molnlycke,SE,57.6589,12.1179,43.61,91,20,10.36,few clouds
288,Houma,US,29.5958,-90.7195,64.4,39,0,6.91,clear sky
289,Salalah,OM,17.0151,54.0924,73.49,53,0,5.75,clear sky
290,Nouadhibou,MR,20.931,-17.0347,62.58,72,20,13.8,few clouds
291,Moose Factory,CA,51.2585,-80.6094,30.2,93,100,2.3,overcast clouds
292,Umm Kaddadah,SD,13.6017,26.6876,62.53,17,2,19.48,clear sky
293,Muromtsevo,RU,56.3724,75.2418,15.03,89,100,12.97,overcast clouds
294,Beringovskiy,RU,63.05,179.3167,15.42,87,75,4.32,broken clouds
295,Kaitangata,NZ,-46.2817,169.8464,63.77,65,100,6.62,overcast clouds
296,Xinxiang,CN,35.3089,113.8672,55.9,60,100,3.96,overcast clouds
297,Ondjiva,AO,-17.0667,15.7333,65.34,59,8,5.55,clear sky
298,Scarborough,GB,54.2797,-0.4044,47.64,79,13,3.91,few clouds
299,Cartagena Del Chaira,CO,1.3349,-74.8429,74.44,92,100,1.52,overcast clouds
300,Buala,SB,-8.145,159.5921,78.8,89,100,8.59,moderate rain
301,Mount Pleasant,US,32.7941,-79.8626,64.54,45,0,13.8,clear sky
302,Nayoro,JP,44.3506,142.4578,42.62,78,100,1.07,overcast clouds
303,Fairbanks,US,64.8378,-147.7164,43.14,48,0,8.05,clear sky
304,Uvira,CD,-3.4067,29.1458,71.24,84,50,4.72,scattered clouds
305,Necochea,AR,-38.5473,-58.7368,62.33,93,100,21.36,overcast clouds
306,Araouane,ML,18.9048,-3.5265,79.0,17,57,9.93,broken clouds
307,Hirara,JP,24.8,125.2833,77.27,94,75,18.41,light intensity shower rain
308,Soyo,AO,-6.1349,12.3689,76.14,87,100,6.64,light rain
309,Meulaboh,ID,4.1363,96.1285,80.8,80,37,2.77,scattered clouds
310,Lumeje,AO,-11.55,20.7833,65.28,93,99,3.2,light rain
311,Nizwa,OM,22.9333,57.5333,70.83,23,20,1.1,few clouds
312,Asau,RO,46.4333,26.4,32.9,77,3,5.12,clear sky
313,Mandali,IQ,33.7499,45.5541,51.62,56,1,4.72,clear sky
314,Ahipara,NZ,-35.1667,173.1667,70.97,66,92,11.88,overcast clouds
315,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,90,100,25.86,overcast clouds
316,Texarkana,US,33.4251,-94.0477,64.62,46,0,1.99,clear sky
317,Bilma,NE,18.6853,12.9164,69.53,15,0,9.17,clear sky
318,Verkhnyaya Sysert,RU,56.4372,60.75,3.0,97,98,1.99,overcast clouds
319,Kaduqli,SD,11.0167,29.7167,71.19,12,0,15.82,clear sky
320,Leningradskiy,RU,69.3833,178.4167,2.93,87,83,7.49,broken clouds
321,Yerbogachen,RU,61.2767,108.0108,18.1,90,46,3.42,scattered clouds
322,Kysyl-Syr,RU,63.8986,122.7617,17.46,91,100,4.07,overcast clouds
323,Vilhena,BR,-12.7406,-60.1458,69.93,97,100,2.51,light rain
324,Byron Bay,AU,-28.65,153.6167,75.09,77,100,8.32,overcast clouds
325,Sawtell,AU,-30.3833,153.1,66.22,94,75,12.66,moderate rain
326,Belz,FR,47.6751,-3.168,55.09,62,63,5.01,broken clouds
327,Coquimbo,CL,-29.9533,-71.3436,60.53,88,100,4.61,overcast clouds
328,Ilhabela,BR,-23.7781,-45.3581,77.2,84,100,0.18,overcast clouds
329,Rundu,NA,-17.9333,19.7667,64.22,91,8,3.96,light rain
330,Zyryanka,RU,65.75,150.85,12.24,81,100,16.26,overcast clouds
331,Ayagoz,KZ,47.9714,80.4392,11.61,90,10,3.98,clear sky
332,Tevaitoa,PF,-16.7833,-151.5,82.65,70,53,11.43,broken clouds
